ai_band,pricing_model,share
0-20%,fixed,0.38946015424164526
0-20%,hourly,0.4691516709511568
0-20%,value_based,0.14138817480719795
20-40%,fixed,0.37511693171188026
20-40%,hourly,0.4920486435921422
20-40%,value_based,0.13283442469597756
40-60%,fixed,0.3645320197044335
40-60%,hourly,0.48645320197044334
40-60%,value_based,0.14901477832512317
60-80%,fixed,0.38285714285714284
60-80%,hourly,0.49714285714285716
60-80%,value_based,0.12
80-100%,fixed,0.3958333333333333
80-100%,hourly,0.4583333333333333
80-100%,value_based,0.14583333333333334
