task_type,ai_band,n,avg_margin,avg_outcome
ad,0-20%,122,0.042770763655368645,70.30008403361344
ad,20-40%,141,0.13407786140749509,69.12088888888889
ad,40-60%,132,0.23877800055191156,69.6160465116279
ad,60-80%,48,0.2493932445584065,67.86066666666667
article,0-20%,103,0.1760983749066499,69.91316326530612
article,20-40%,154,0.2070996970983212,68.68116438356165
article,40-60%,119,0.3157049185089447,67.48945945945945
article,60-80%,56,0.21140909218086046,70.62725490196078
design,0-20%,111,0.15195125912287535,66.58704761904762
design,20-40%,160,0.18538268448305384,69.42070512820513
design,40-60%,121,0.2603870792140557,68.7717094017094
design,60-80%,46,0.1339635560067915,69.17999999999999
dev,0-20%,102,0.15571968364193925,68.221
dev,20-40%,159,0.13803470806008272,69.69980263157895
dev,40-60%,110,0.2986122475487045,70.03764150943395
dev,60-80%,44,0.3569306457708643,68.58674418604652
release,0-20%,110,-0.027306407815455118,67.90528301886792
release,20-40%,152,-0.21258531910823883,69.89575342465754
release,40-60%,95,0.18694791666131955,68.95266666666666
release,60-80%,52,0.4066322960222861,65.06204081632653
report,0-20%,112,-0.029206889058598574,71.1032380952381
report,20-40%,164,0.20690218316119557,66.21628205128205
report,40-60%,108,0.2344922813544189,70.09495238095238
report,60-80%,53,0.33261463190537477,68.74
ticket,0-20%,118,-0.029057598462667988,68.96405405405406
ticket,20-40%,139,0.041409593845335296,68.17882352941176
ticket,40-60%,127,0.1847695059623156,71.22991803278688
ticket,60-80%,51,0.16563985634929682,66.78416666666666
